EmplID,ProjectID,DateFrom,DateTo
1,483,2001.07.04 AD at 12:08:56 PDT,2006.07.04 AD at 12:08:56 PDT
2,777,02001.July.04 AD 12:08 PM,02004.July.04 AD 12:08 PM
3,348,010704120856-0700,070704120856-0700
4,777,23.9.1991,NULL
5,937,15.1.1997,NULL
6,165,21.3.1994,NULL
7,165,2001-07-04T12:08:56.235-0700,2017-07-04T12:08:56.235-0700
8,211,52001-07-04T12:08:56.235-07:00,2022-07-04T12:08:56.235-07:00
9,510,2001-W27-3,2007-W27-3
10,940,NULL,NULL
11,175,21.8.1986,17.1.2007
12,211,12.1.1971,18.1.2023
1,211,28.7.1982,19.1.2007
14,493,3.4.1979,20.1.2022
15,712,24.8.1992,21.1.2007
16,194,25.8.1987,22.1.2007
17,493,20.3.1991,23.1.2007
18,901,9.8.1985,24.1.2018
19,712,27.10.1970,25.1.2007
20,936,23.12.1982,26.1.2007
21,901,28.6.1987,27.1.2007
22,431,12.10.1982,28.1.2024
1,542,14.6.1995,29.1.2007
3,78,9.4.1985,30.1.2007
5,90,21.7.1980,31.1.2023
7,855,7.2.1977,1.2.2007
9,621,9.8.1993,2.2.2009
11,855,21.11.1990,3.2.2009
13,348,29.4.1971,4.2.2009
15,377,30.3.1974,5.2.2009
17,458,7.4.1970,6.2.2007
19,171,18.7.1989,7.2.2007
7,621,26.10.1995,8.2.2011
7,409,17.4.1973,9.2.2011
7,88,3.11.1972,10.2.2011
7,927,21.10.1999,11.2.2011
7,397,15.3.1983,12.2.2011
12,211,2001.07.04 AD at 12:08:56 PDT,2006.07.04 AD at 12:08:56 PDT
11,777,Wed, 4 Jul 2001 12:08:56 -0700,Wed, 4 Jul 2007 12:08:56 -0700
15,712,010704120856-0700,070704120856-0700
12,111,2018-08-01 23:58:32.425,2020-08-01 23:58:32.425
